충전구분,충전소명,주소
완속,서초리젠 아파트,서울특별시 서초구 서초동 1444-19
완속,현대ESA아파트,서울특별시 서초구 서초동 1338
급속,월드메르디앙 아파트,서울특별시 서초구 서초동 1549-3
급속,구룡공원 공영주차장,서울특별시 서초구 양재동 399
급속,동산마을 공영주차장,서울특별시 서초구 강남대로8길 77 
급속,대한무역투자진흥공사,서울특별시 서초구 헌릉로 13 
급속,방배복개도로 제2지역 공영주차장,서울특별시 서초구 동작대로 22-2 
급속,한국연구재단,서울특별시 서초구 헌릉로 25 
급속,양재하이브랜드,서울특별시 서초구 매헌로 16 
완속,강남아이파크,서울특별시 강남구 자곡동 자곡로 175
급속,타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56
완속,역삼래미안,서울특별시 강남구 역삼동 757
급속,역삼래미안,서울특별시 강남구 역삼동 757
완속,개나리푸르지오,서울특별시 강남구 역삼동 755-1
완속,개나리래미안 아파트,서울특별시 강남구 역삼동 역삼로 306
완속,세곡푸르지오아파트,서울특별시 강남구 세곡동 533
완속,래미안대치하이스턴 아파트,서울특별시 강남구 대치동 도곡로93길 12
완속,압구정하이츠파크,서울특별시 강남구 신사동 압구정로42길 78
완속,LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21
완속,도곡렉슬 아파트,서울특별시 강남구 도곡동 선릉로 221
완속,타워팰리스G동,서울특별시 강남구 도곡동 언주로30길 26
완속,강남한양수자인,서울특별시 강남구 자곡동 자곡로 260
완속,강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63
급속,강남구청 공영주차장,서울특별시 강남구 삼성동 16-1
완속,강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50
급속,대치2문화센터 공영주차장,서울특별시 강남구 영동대로65길 24
급속,LH서울지사,서울특별시 강남구 선릉로 121길 12
완속,청담파크파라곤,서울특별시 강남구 청담동 학동로97길 31
급속,가람아파트,서울특별시 강남구 일원동 일원로 127
급속,LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21
급속,샘터마을 아파트,서울특별시 강남구 일원동 일원로 120
급속,강남세브란스 병원,서울특별시 강남구 언주로 211
급속,대치현대 아파트,서울특별시 강남구 대치동 삼성로64길 5
급속,도곡렉슬 아파트,서울특별시 강남구 도곡동 선릉로 221
급속,래미안강남힐즈,서울특별시 강남구 자곡동 자곡로 101
급속,강남아이파크,서울특별시 강남구 자곡동 자곡로 175
완속,세곡리엔파크3단지,서울특별시 강남구 세곡동 헌릉로590길 11
완속,래미안그레이튼,서울특별시 강남구 역삼동 도곡로43길 20
급속,타워팰리스G동,서울특별시 강남구 도곡동 언주로30길 26
완속,타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56
완속,삼성동힐스테이트2단지,서울특별시 강남구 삼성로 111길 8
완속,래미안강남힐즈,서울특별시 강남구 자곡동 자곡로 101
완속,청담래미안로이뷰,서울특별시 강남구 청담동 영동대로142길 16
완속,우정에쉐르 3차,서울특별시 강남구 영동대로85길 17
급속,아이파크삼성동,서울특별시 강남구 삼성동 영동대로 640
급속,강남한양수자인,서울특별시 강남구 자곡동 자곡로 260
완속,대치현대 아파트,서울특별시 강남구 대치동 삼성로64길 5
급속,헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13
완속,역삼2차아이파크아파트,서울특별시 강남구 역삼동 도곡로57길 12
급속,세곡리엔파크3단지,서울특별시 강남구 세곡동 헌릉로590길 11
완속,강남데시앙포레,서울특별시 강남구 수서동 광평로34길55
급속,청담자이 아파트,서울특별시 강남구 청담동 영동대로138길 12
완속,타워팰리스 2차,서울특별시 강남구 도곡동 언주로30길 57
완속,삼성동한일아파트,서울특별시 강남구 삼성동 48
완속,청담자이 아파트,서울특별시 강남구 청담동 영동대로138길 12
완속,역삼e-편한세상,서울특별시 강남구 역삼동 755-4
급속,개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15
급속,세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10
완속,개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15
급속,세곡푸르지오아파트,서울특별시 강남구 세곡동 533
완속,삼성동현대아파트,서울특별시 강남구 삼성동 학동로64길 14
급속,래미안대치팰리스,서울특별시 강남구 대치동 삼성로51길 37
급속,래미안그레이튼,서울특별시 강남구 역삼동 도곡로43길 20
완속,강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20
완속,삼성우정에쉐르아파트,서울특별시 강남구 삼성동 3-8
완속,삼성중앙하이츠빌리지,서울특별시 강남구 삼성동 학동로68길 30
완속,삼성동 에스케이뷰 아파트,서울특별시 강남구 삼성동 봉은사로109길 14-8
완속,도성 아파트,서울특별시 강남구 삼성로67길 14
완속,아크로힐스논현,서울특별시 강남구 논현동 276-1
급속,타워팰리스 2차,서울특별시 강남구 도곡동 언주로30길 57
완속,래미안삼성1차,서울특별시 강남구 삼성동 103-22
급속,강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63
완속,현대까르띠에710아파트,서울특별시 강남구 역삼동 710
급속,도곡대림아크로빌,서울특별시 강남구 도곡동 언주로30길 13
